Nama,Tanggal,comment,Label
Desi Ded,16 Juni 2021,Saya suka aplikasi ini bak event terutama undang teman saya suka tapi saya sudah undang teman baru tetapi teman saya gak bisa memasukan kode undangan saya padahal baru download mohon diperbak lagi event makasih.,Positif
akane_san,29 Juli 2021,"aplikasi bagus tapi, jangan ada shadow banned please 🥺, sudah itu aja😘",Positif
Her Yani,16 Juli 2021,Kenapa oh kenapa logo koin susah banget muncul kenapa please tell me bagaimana cara untuk  koin selalu muncul 🥺🥺🙏,Positif
Aku no Hoky,27 Mei 2021,Aplikasi bagus kalo menoton di bayar tapi kenapa semakin lama semakin menurun pendapatan poin lama lama kalo bgitu terus yang baru install aplikasi ini bisa bisa uninstall aplikasi ini tolong kebijakan dari tiktok kenapa poin yang kita dapat semakin lama semakin menurun,Positif
Novalia Putri,19 Juli 2021,BAGUS BANGET...,Positif
QH 08,5 Agustus 2021,Kenapa fitur dapat point jika nonton video sudah tidak ada ya,Positif
Animasi Channel,26 Mei 2021,Alhamdulillah aplikasi ini bisa membantu saya untuk mendapatkan saldo gratis tetapi saya kecewa dengan aplikasi ini tidak sesuai dengan ketaan kata invite 10 teman dapat bonus 300k tapi ta tidak dapat saya kecewa banget dengan aplikasi ini,Positif
ALI IMRON,5 Juli 2021,"Saya suka banget aplikasi ini tapi, sering kali disini itu bak video yang tidak seharus ditampilkan dan itu yang membuat saya agak tidak suka aplikasi ini semoga bermanfaat",Positif
Rahma Nidar,10 Juni 2021,Kasih bintang 4 dulu Karena pointku malah berkurang tiap hari. Bukan ditambah padahal aktif tiap hari... Dan bak kode undangan GX bisa masuk ..,Positif
Jaya aditia Riski Pratama,6 Agustus 2021,Puku kok gak ada misi lihat Video 30 menit sih?,Positif
Nur Nurianti,23 Mei 2021,Gunakan Rujukan F 9 K V 6 H L 9 X Y Y Q untuk dapatkan hadiah,Positif
Dona Doni,23 Juni 2021,Untuk tiktok kalo mau naik lagi aplikasi tolong diperbaiki masalah yang ada seperti penarikan juga undangan terus satu lagi masalah misi nonton yang jadi seperti lite lebih baik misi nonton seperti kemaren bukan yang lite jadi bak orang yang kembali menggunakan tiktok,Positif
LOVINA PUTRI GINTING,14 Juli 2021,Bagus sih tapi saya bingung kan mau masukin kode ke hp teman eh kok kode saya dibilang penipuan ya? Ini gimana ya?,Positif
natalia 11,15 Juli 2021,kirain bohongan eh terta terbukti membayar buruan masukan referall 👉GBZC9R9XMXYWY👈 Akan mendapatkan 100.000 point,Positif
Eny Yulia,25 Juli 2021,Seru Buat hiburan buat tambah pengetahuan juga... Karna ada video tetang pengetahuan juga,Positif
Richy Ridayanti,10 Juli 2021,Agak kesel sama aplikasi tiktok .. Dulu penghasilan 1 hari bisa 7 ribuan ..setiap hari selalu ada pengurangan hingga sekarang 1 hari cuma dapat seribuan bahkan 5 ratusan ..ngabisin kuota hampir 1 gb an nonton tiktok .. Tolong dong kalo gak niat kasih uang lebih baik tidak usah kasih koin,Negatif
Gake Petir,30 Mei 2021,Suka banget poko dengan aplikasi yang satu ini,Positif
BGM• DTW,4 Agustus 2021,aplikasi yang bisa membantu ketika nol rupiah,Positif
GAMER NUBPLAYER,11 Juni 2021,"Mohon kebijaksanaan, saya sudah berkali kali mencoba untuk memasukkan kode rujukan dan selalu tidak bisa ""tidak lulus konten penipuan"" padahal saya pengguna baru",Positif
Saruli Hutabarat,8 Agustus 2021,Tolong kurangi iklan biar kasih bintang 5,Positif
Evah Mad,11 Juni 2021,Ada kan event lagi dong. Biar member pada semangat. Cari kerja susah. Apa lagi di jaman pandemi seperti sekarang ini.. tiktok go terus.. jangan sampai tenggelam,Positif
IBEast90,18 Juli 2021,Akun tiktok saya tidak bisa siaran langsung di pc/mac karena fitur siaran di pc/mac tidak tersedia. mohon diperbaiki. Terima kasih.,Positif
Kupat Tahu,6 Juni 2021,"aplikasi  memang bagus tapi kenapa kok saya nonton video 30 menit cuman dapat 7000 koin doang beda sama temen"" aku yang nonton 30 menit dapat 250000 koin mohon pemberitahuan  dan pengertian ya semoga di jawab😊 terimakasih",Positif
Nurlella Sari,14 Juli 2021,Kenapa sekarang tidak dapat koin menonton video ?,Positif
Syafira Daffa,24 Juli 2021,bagus menemani masa gabut selama pandemi dirumah,Positif
aca 111,27 Juli 2021,Ke ganggu banget sama kotak kado itu sudah dipencet silang malah kepencet gitu,Positif
Hilda Cantik,6 Agustus 2021,"Masukin kode  susah banget, terus point kembali ke kado hmmm.. kalo sudah normal kaya dulu lagi kasih bintang 5",Positif
Al Husen,29 Juli 2021,Gunakan kode ini untuk dapat duit 10.000 GBPEEBLXNPYT8,Positif
Herlian Pratama,16 Juli 2021,Aplikasi jelek banget tapi bohong aplikasi bagus banget,Positif
Andini Manis,29 Juni 2021,Aku suka banget sama aplikasi ini kalian hraus install ya dan aplikasi ini juga bisa loh jadi hiburan buat kalian yang lagi gak move on atau sedih nah disini ada ayo buruan download,Positif
Cindy Felicia,1 Juli 2021,"Ok lah dapat lumayan Tapi, kok gak jalan"" Menit sudah ditonton lama malah gak jalan? Lagi error kah? Atau ada masalah aplikasi",Positif
Devi Marlina,18 Juli 2021,Kenapa saya tidak bisa masukin kode ? Kata error,Positif
Igasiana Rosi,3 Juni 2021,Assalamualaikum kenapa tiktok saya tidak bisa mengirim pesan kepada pengikut saya ya? Saya sudah ikuti dia balik tapi tetap tidak bisa mengirim pesan sementara tiktok saudara saya ada itu kenapa ya?,Positif
Sendy Arya,8 Juni 2021,"Sudah bagus sih bisa ngehasilin uang cuma nonton video doang, tapi saya pu masalah yaitu tidak ada kolom untuk memasukkan kode TikTok,, Mohon di perbaiki bug  Yaa🙏🙏",Positif
Warung Jagal,30 Mei 2021,"kenapa setiap kali melakukan penarikan selalu gagal. tolong dong, aku kasih bintang 4 dulu, kalo sudah berhasil melakukan penarikan akan aku kasih full bintang",Positif
Rndra Kids,24 Juli 2021,Bagus sih kenapa saya nonton Video gak dapat point lagi kenapa yah,Positif
Dino Haganta Ginting,3 Juni 2021,Semua sih keren tapi Tiktok Kok sepi Mulu capek ngedit video tolong kenapa,Positif
Sigit Pujiati,4 Juni 2021,"Halo tiktok, kenapa saya tidak bisa perbarui tiktok saya ke versi terbaru? Selalu ""menginstal..."" terus. padahal saya sudah menghapus chace dan memori masih kosong, koneksi juga 4G dan stabil. Why tiktok?",Positif
Rudy Pgb,2 Juli 2021,"Bisa gak ya perbandingan koin jangan terlalu jauh ke rupiah, biar lebih cepat dapatin rupiah. Jadi saya kasih bintang 4 dulu ya, makasih 🙏🙂",Positif
Seorang Wibu,27 Juli 2021,Bang saya mau ta kenapa sekarang enggak ada duit😤,Positif
Aris Munandar,18 Juli 2021,Cukup asik.. tapi koin tolong biar dapat duit yang nonton,Positif
KOCAG CHANNEL,7 Agustus 2021,Cara ngebales komentar orang walau kita bukan creator gimana dah🗿 sudah aku upgrade tetep gak bisa,Positif
BAYU GAMING 020,18 Juni 2021,aplikasi jelek,Negatif
Dina Subekti,26 Februari 2020,aplikasi bagus,Positif
Ahmad Nasrul,24 Desember 2019,Bagus,Positif
Lia Aulia Hayu Cahyani,14 Oktober 2019,Suka,Positif
Evos ʀɪꜰᴋɪ,7 Januari 2021,Aplikasi jelek,Negatif
Dian Saputra,31 Maret 2020,mantap,Positif
Deny Perdana,28 Juli 2020,Kreaktif dan menghibur,Positif
Damar Ajhaa,6 September 2020,Bagus😍,Positif
Dhany Rains,28 Februari 2020,Mantap,Positif
Aliya Official,18 November 2020,Hmm Bagus aplikasi tiktok Good Joob,Positif
Dodoy Artha,16 Juni 2018,Suka,Positif
Asep Ase,6 Mei 2020,Mantap poko ,Positif
Pengguna Google,8 Maret 2019,Terimakasih,Positif
Indra Hermawan,25 Februari 2018,Aku suka tiktok bagus,Positif
Monita Oktavia,30 Juli 2020,Bagus Banget,Positif
Nisa Caca,17 November 2020,Bagus banget,Positif
Galang Tukan,27 November 2020,Aplikasi yang bagus banget,Positif
artis gondang ipung akila,22 Mei 2018,Ok,Positif
Pengguna Google,21 Oktober 2018,SAYA suka Beautiful Place,Positif
Yang Muliya,21 Juli 2019,Bagus,Positif
Aldi Fams,7 Mei 2018,Saya suka aplikasi ini,Positif
Wisnu Anjar,3 Januari 2021,Suka,Positif
Widya Wati,26 Januari 2019,seru banget  ya walaupun cuma lihat2 doang,Positif
Zalfa Alya,6 Januari 2021,Bagus aplikasi💗,Positif
Hani Fathiah,6 September 2020,terbaik,Positif
Ema Yanti,17 Oktober 2020,Good,Positif
Pengguna Google,13 Februari 2018,Wah video jadi bagus,Positif
MADIN 17,25 November 2020,buruk,Negatif
Dian Sari,9 September 2020,terbaik,Positif
NOBAR Muncul,14 Agustus 2020,Mantap dan menghibur,Positif
Cindy Angelina,4 April 2020,Bagus banget,Positif
Ichwan Aziizil,2 Juli 2019,"aplikasi bagus, tapi bikin anak dibawah umur jadi goblok, tolong filter umur diperbagus, jangan rusak generasi bangsa dengan ini, bak anak dibawah umur yang ngebet tenar dan bikin ilfeel, bangsat",Positif
Ing Wibisono,29 Agustus 2020,Wow bagus bagus banget,Positif
Elfiantara Baskara,31 Mei 2018,harus pakai email,Negatif
Triyono Triyono,17 Januari 2021,menghibur,Positif
AHMAD ADITYA,26 November 2020,Terima kasih,Positif
FM Chanell,14 Februari 2018,Sangat menarik,Positif
frost zikri,4 Desember 2020,Saya kelak menjadi salah seorang dari rumah dan apartemen yang mirip Dengan yang like to show the world of fitnes,Positif
Rio Febrianda,5 Juli 2020,Konyol,Negatif
Pengguna Google,9 Agustus 2019,rekomendasi banget,Positif
Delpa tala Delpa tala,14 April 2020,Aku suka,Positif
levi. Ackerman,16 Oktober 2020,aplikasi untuk orang gabut,Positif
Anggitawulan Ndari,11 Januari 2021,Bagus banget,Positif
Adul Ajah,3 Juni 2020,Bagus,Positif
Lannora Harahap,29 Mei 2020,Sangat menghibur,Positif
citra nadzwa putri,11 Desember 2020,Ini jelek banget lebih baik di like tapi bohong,Positif
IRWANSYAH 01,30 Desember 2019,Bagus,Positif
marsella anggreani,8 April 2020,tiktok,Positif
Pengguna Google,23 Maret 2018,Suka.,Positif
Experimen TV.,27 Juni 2018,tiktok ini sangat bagus kalou kamu main tiktok jangan pake yang saru sara,Positif
Jun Banana,21 Agustus 2020,Balikin Akun Bayu,Positif
Yunieta yunie,13 November 2019,I like,Positif
naomi kim,16 November 2020,oke,Positif
Revha Jamhari,26 Juli 2019,rekomendasi banget,Positif
zakia dewi,26 Februari 2020,good,Positif
Junaidi Junaidi,4 November 2020,Halo nama saya rani saya suka sekali dengan aplikasi ini aplikasi ini bagus sekali,Positif
Nabilla Nurasiah,15 Maret 2018,tiktok ini sangat keren kak,Positif
Ghiaccio White Album,18 Desember 2021,ini aplikasi jelek sumpah,Negatif
Pengguna Google,26 Maret 2018,Keren,Positif
MR. Lexy,3 Januari 2021,Aplikasi sangat bagus,Positif
Pengguna Google,29 Juni 2018,Bagus,Positif
piomas nainggolan,24 Agustus 2018,Ini aplikasi bagus banget,Positif
Fauzi Kurniawan,12 November 2020,Ok,Positif
Pengguna Google,28 Juni 2018,Aku suka tiktok tapi Fans ku enggak bertambah - tambah,Positif
Andi Zul,31 Mei 2018,Pokok bagus,Positif
erialdo saputra sagala,13 Oktober 2018,Mantap,Positif
Abi Didi Suratno,10 Desember 2019,Oke,Positif
Human Manusia,18 Desember 2021,Jelek Banget,Negatif
Sahwa Nurohmah,4 Juni 2020,suka,Positif
rizky hidayatul,23 Mei 2018,wah gila sih,Positif
supri yadi,22 September 2020,Saya suka tiktok,Positif
Dayat Rrnal,14 Oktober 2020,bagus,Positif
Tuti Ameliah Ameliah,20 September 2020,Seru banget,Positif
Pengguna Google,20 Februari 2018,Keren,Positif
Deni Suhartono,29 Agustus 2019,Sangat puas,Positif
Zahira 212,17 Oktober 2019,Bagus,Positif
Pengguna Google,13 Juni 2018,"tiktok sangat bagus dan bisa ketemu cowok"" ganteng",Positif
Rahman Gaming,10 April 2018,Sangat seru dan memuaskan,Positif
Kurnia Channel,4 Desember 2021,Kurang suka sama aplikasi ini,Negatif
Muhammad Rizky Fadillah,16 Desember 2020,Tolong perbaikin aplikasi ini aku enggak bisa buka nanti aku kasih bintang lima ,Positif
salva satria nugraha,11 April 2020,Bagus bangat tidak akan nyesel donwload tiktok,Positif
Rivan Adriansyah,7 November 2020,Saya senang,Positif
Nuraisah Siti,15 Juli 2020,Ingin mengikuti tiktok,Positif
Nurasya Nasir,5 September 2020,Bagus banget,Positif
Yusuf Arrahman,5 Juli 2021,kode undangan tidak bisa dimasukkin tolol,Negatif
Akun New,30 Agustus 2021,aplikasi payah jangan download,Negatif
Pengguna Google,2 Maret 2019,seru banget main kalo lagi mood,Positif
Paisal Satri,21 Oktober 2020,Saya suka aplikasi ini,Positif
Muhamad Abi Januardi,22 Maret 2020,Mantap bagus sekali ya,Positif
Rahmadiansyah Rahmadiansyah,7 Mei 2018,Suka banget,Positif
Ferdian Dian,30 Desember 2020,Aplikasih ini sangat bagus sekali,Positif
Erfan Yd7iuo,30 Mei 2018,5.star like just for you,Positif
Lismawati Manalu,2 April 2020,Sangat baik,Positif
Fahri Fachrudin,21 Mei 2020,Bagus,Positif
Rahman Ibrahim,15 Desember 2018,Keren,Positif
Jajang Nurjaman,19 Juli 2021,Aplikasi tidak jelas tidak bisa download,Negatif
putraa zedhenk,20 Juni 2019,keren tiktok,Positif
langat Feterus,16 Februari 2020,lucu,Positif
Kunyuk Tau,27 Juni 2021,tiktok makin kesini makin kaya tai,Negatif
Arus Iiss,8 Mei 2020,Keren,Positif
Didin Sudrajat,7 Agustus 2020,Sangat keren,Positif
Abi Aditya,16 September 2019,Saya suka tiktok Dari saya kelas satu saya suka main tiktok Sekarang umur saya 11 tahun Saya masih main tiktok Saya kasih bintang 5 buat tiktok tiktok paling menarik,Positif
Taufiqoh Hidayah,10 Maret 2018,Bagus keren,Positif
mimi saipah,25 November 2020,Aplikasi ini jelek banget tapi bohong,Positif
Nada Maharani,10 Mei 2020,Bagus banget saya suka sekali dengan aplikasi ini filter bagus bagus semua karna aku suka banget dengan aplikasi ini saya kasih bintang 5,Positif
Syahdana Yustiar YT,29 September 2020,bagus,Positif
Samaung J1ace,1 November 2020,Bagus banget,Positif
akman danuri,3 Desember 2020,BAGUS BANGET 😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,Positif
fcking bella Bhella 3003,2 Agustus 2020,Saya suka dengan aplikasi ini sangat menghibur dan kreatif banget saya suka 🎉,Positif
Anggiat Nainggolan,6 Desember 2019,mantap,Positif
Heri Prasetyo,18 Agustus 2018,Sangat menghibur,Positif
Pengguna Google,22 Mei 2018,tiktok Ini Sangat Bagus,Positif
Intan Vatma,16 November 2020,"Aku suka banget sama tiktok karna kita bisa ketemu k-pop kayak BTS, BLACKPINK,ITZY DLL",Positif
Ibu RT,2 September 2020,Idih keren,Positif
Mifta Hayatun,8 Januari 2021,Ini tiktok bagus banget sumpah kalian harus download,Positif
MISHELLE PRETTY VICTORIA,28 Maret 2018,Bagus,Positif
hadii 03,25 Januari 2020,Bagus,Positif
Rara Artika,15 Januari 2021,Bagus banget cuma kurang suka di watermark aja,Positif
Fani Modeong,27 Juli 2020,Baik,Positif
nury trianawulandari,6 Juni 2019,Aplikasi Bagus😁,Positif
Hernanda Iqmal,8 Desember 2021,report orang rasis dibilang tidak ada kesalahan. Giliran saya kasih bintang 1 kok saya dibanned. Lawak tiktok,Negatif
Pengguna Google,13 Desember 2018,Aplikasi terbaik😎,Positif
wasis Ponorogo,8 Agustus 2019,bagus dan menarik,Positif
Juanda Fanani,7 April 2019,keren dan bagus,Positif
Pengguna Google,13 Mei 2018,I Like You tiktok,Positif
Mas arif oke,8 November 2020,Mantap bos,Positif
Sri Utami,3 Januari 2021,Aplikasi yang menghibur sekaligus menghasilkan🙂🙂,Positif
Pengguna Google,27 Mei 2018,tiktok memang mantap,Positif
Hasriyani Hasman,10 Oktober 2020,Tiktok keren,Positif
Pengguna Google,4 Mei 2018,Sangat bagus,Positif
Nur Hayati,17 Januari 2020,Lumayan,Positif
Ray Gilang,25 Juni 2021,tiktok busuk,Negatif
rara anggriani yang alay dan lebay begitu,29 Mei 2019,suka sama lagu,Positif
Arzaqina callysta,9 Mei 2018,Aku suka sekali,Positif
Evrin dinoto,29 Oktober 2020,Asik,Positif
Pipit Png,29 Maret 2020,Aku suka banget,Positif
Jheny Himmatil izza,26 Mei 2019,ayo pilih tiktok,Positif
Neneng Kurniati,31 Desember 2020,Bagus................,Positif
Tata AD,25 Juli 2021,sudah tidak bisa dapat point bye banget,Negatif
RᎪYᎠᎬᎡ- -ᏚᏆᏞᎪK,18 November 2020,Like🤗,Positif
Elsa Meliayany,9 Desember 2021,Bagus banget wajib download,Positif
Emelda Hambali Putri,2 Juni 2020,aplikasi Bagus,Positif
Nuraini Nur,23 September 2020,Bagus,Positif
JakaGeming AnjayJancok,31 Maret 2020,Mantap kali,Positif
Andi Firmansyah,17 Oktober 2020,Aplikasi yang paling mantap..,Positif
Raflimuflihun 123,15 November 2019,Bagus,Positif
Pengguna Google,13 Oktober 2018,Keren dan lucu,Positif
Pengguna Google,2 Desember 2018,Good,Positif
Muhammad Hafiz,15 November 2020,Hebat,Positif
Sury Booysh,1 Oktober 2020,Saya suka,Positif
Albi Al qolbi,14 Juli 2020,aplikasi yang sangat menghibur,Positif
Pengguna Google,19 Februari 2019,sangat bagus,Positif
Malisa Agustina,17 Maret 2020,"Suka Aja, Menghibur",Positif
Pengguna Google,25 Maret 2018,Coba di coba akhir ketagihan TikTok good to cute*,Positif
Pengguna Google,6 Maret 2018,mudah mudahan lebih maju lagi,Positif
Pengguna Google,29 Desember 2019,Bagus,Positif
Fatrawaty Baruadi,25 Juli 2020,Bagus,Positif
Priska Fauziah,4 Maret 2018,Sip,Positif
Pengguna Google,28 November 2018,Saya suka,Positif
Dokter Custom_part,5 November 2020,mantap,Positif
Mahanani Nurkinasih,27 November 2021,"Kenapa sekarang tiktok eror, saya tidak bisa follow orang bahkan adik saya tidak bisa buat akun tolong diperbaiki ya",Negatif
Yayang Sanggita Oktaia,2 Desember 2021,Saya kecewa .. Pesen barang di tiktok shop padahal sudah transfer pembayaran tapi di pemberitahuan tiktok belum terkonfirmasi pembayaran padahal nomer rekening sesuai tujuan alhasil uang saya hilang,Negatif
Pirgo Siregar,4 Maret 2020,Sangat mantap,Positif
Saipul Anwar,18 Mei 2020,Seru video,Positif
Pengguna Google,12 September 2018,Good banget,Positif
Cia HH,4 September 2020,Good l like it,Positif
Pengguna Google,30 Maret 2018,Aku suka sekali dengan mainan ini,Positif
Rismot Frdy,26 Desember 2020,FYP IN GUA TERUS POKOK,Positif
Ayu Fitriani,2 September 2020,Makasih ya aku suka dengan aplikasi ini 😊,Positif
Mariah S.Ag,23 Oktober 2020,Bagus kok,Positif
Agong RT,2 Juli 2021,Aplikasi apa ini? Semakin kesini semakin tidak jelas.. Buka di kembangin malah di updete semakin tidak jelas aja,Negatif
Pengguna Google,13 April 2018,aku suka tiktok karna efek bagus,Positif
Faizal Reza Hasibuan,3 Juli 2021,Kasian lihat anak sekarang. Makin rusak dan tidak tahu malu,Negatif
Via Yohana,30 Desember 2020,Bagus banget,Positif
Saneman Binsalim,16 November 2020,bagus banget,Positif
Nauva layla,24 Februari 2020,Menghilangi bosan,Positif
teddy susanto62,23 Desember 2019,Bagus,Positif
Angel Ina,2 Maret 2018,Bagus,Positif
Aulia Margareta,12 Januari 2021,"Simpel, aku suka TikTok",Positif
Nabila 101125,4 November 2020,Aku suka sama ini,Positif
Pengguna Google,18 Februari 2018,Bagus,Positif
Icaaa anak baik,4 Januari 2021,"Sejauh ini menghibur, semoga lebih cepat tanggap lagi mengenai laporan dari user mengenai content creator yang menyimpang",Positif
Neng Yaya,6 September 2020,Aplikasi bagus banget bak fitur lagi,Positif
Pengguna Google,11 November 2017,saya sangat senang mempui aplikasi tiktok,Positif
Siti Nur kholifah,27 Juni 2020,Sangat menghibur apalagi saat kondisi pandemi ini.,Positif
Sad Boy,29 November 2021,aplikasi pembodohan,Negatif
Jamri Franseda,5 Januari 2021,terimakasih,Positif
iRangga Channel,31 Mei 2021,kalo event belum selesai jangan suka di ubah tidak jelas ini aplikasi,Negatif
Rafi Matahari,29 September 2019,Jelek sekali,Negatif
Fuad Hadi,6 Maret 2018,Seru juga,Positif
Pengguna Google,12 Maret 2018,Good job😉😘,Positif
BJB tv,13 Juli 2020,Sangat menyenangkan bermain tiktok melepas penat,Positif
Pengguna Google,19 Agustus 2018,Keren,Positif
Pengguna Google,4 Juni 2018,Sayangkan banget,Positif
Andre William,4 Mei 2021,bingung mau berkomentar apa,Positif
Is new,4 Februari 2020,Suka,Positif
Pengguna Google,9 September 2018,Bagus banget kamera,Positif
Pujiati Ngawi,1 Januari 2021,Permainan ini jelek tapi bohong,Positif
Ade Ade,3 Juli 2020,tiktok,Positif
Yanuar Himawan,14 Oktober 2020,sangat bagus,Positif
Andrian Faturahma,20 Juli 2019,good bagus ok,Positif
SRI PUJI ISMAWATI,22 November 2019,Suka ini,Positif
Erlin Sandi,4 Agustus 2020,Keren,Positif
Ratu Ratu,22 November 2020,Bagus,Positif
dita anjarwanto,3 Juli 2021,semakin lama semakin sulit,Negatif
saskia Perdian,1 September 2020,Aku suka,Positif
REFA,9 November 2020,Aplikasi ini sangat bagus tapi saya enggak pernah fyp,Positif
Ahmad Fajar,18 April 2020,sangat bagus tapi pengunaan paket kurangin dikit,Positif
Asran Labea,25 November 2020,Bagus,Positif
Denty Permata sari,9 Januari 2021,Bagus banget Aplikasi ,Positif
widodo suharjo,11 November 2020,Sangat bagus,Positif
Andriani Andriani,16 Juli 2020,Aku mohon kalian mendownload ini jika tidak kalian meyesal,Positif
muhamad adam123,26 Juli 2020,keseluruhan sudah bagus tetep buat saya man dengan saya menggunakan tiktok makasih😍,Positif
Samsung Subang,3 Oktober 2020,Kasih bintang 5 aja,Positif
Aditya Pratama,30 Mei 2018,Suka bagus banget,Positif
Abizar Mahardhika,13 November 2019,Suka sekali.... penghilang bete,Positif
Silvia Kennan,20 Februari 2020,Sangat suka di pakai untuk hal yang positif alhamdulilah. Semoga bisa memberikan hal yang bisa membuat kalian terhibur,Positif
Pengguna Google,4 Februari 2019,bagus banget,Positif
Pengguna Google,13 Oktober 2018,Sangat membantu,Positif
Utary Dwi04,8 Desember 2020,Bagus banget,Positif
Pengguna Google,28 Mei 2018,Keren menghibur,Positif
Yan Syaifydin,27 Desember 2020,bagus banget makasih ya😊,Positif
Rijal Ijal,8 Desember 2019,Ok,Positif
Pengguna Google,18 Maret 2018,Bagus banget 😍😍😍,Positif
Mecka Nea,27 November 2020,aplikasi jelek banget...,Negatif
Pengguna Google,11 Agustus 2018,Bagus banget,Positif
Pengguna Google,7 Mei 2018,Ini sangat seru,Positif
Darwin Fauzi,6 April 2020,Bagus,Positif
Pengguna Google,24 Juni 2018,aku suka lagu,Positif
Pengguna Google,11 Juni 2018,Cukup menyenangkan,Positif
Bobon Rukmana,2 Desember 2020,Saya mau na titok enggak ada yang lucu,Negatif
kadek dwi,19 Juli 2018,Suka tiktok😘,Positif
nia syriyusniati,22 Juli 2020,Seru banget,Positif
rere ane,16 Januari 2021,Pasti,Positif
Muhlashamid Ahmadpabbari,21 April 2020,Karna EXO download Oh Sehun pu tiktok,Positif
Pengguna Google,15 September 2018,yes,Positif
Fitria Permana sari,3 November 2020,tiktok,Positif
sarip Lumu,9 Mei 2020,praktis emang,Positif
Bejo Ashar,24 Juni 2018,Sangat bagus,Positif
Royan GAMING,31 Agustus 2019,I like this,Positif
Abiyyu bintang Haidar,15 Desember 2020,Bagus 👍,Positif
Septa Jidan,3 September 2020,Mantap,Positif
Rina Setyowati,22 Desember 2020,Aplikasi bagus sekali,Positif
Pengguna Google,23 Maret 2019,sangat bagus,Positif
Ilman Khakima,26 Juni 2021,tidak tahu ingin kasih bintang satu aja,Negatif
Along Ore,1 November 2018,Bagus banget👉👍👍👍👍,Positif
Gluntung boy,12 November 2020,Asli,Positif
Widya Wati,22 Desember 2020,Cakep😎,Positif
Audrey Zanza,4 Maret 2020,pokok harus download,Positif
Bojong 123,5 Oktober 2021,nyesel download tiktok sudah bak koin eh malah di blokir koin permanen,Negatif
Muhammad Althariq Nurjati,11 Januari 2021,Mantap,Positif
Sri Kurniwati,10 Maret 2020,Suka banget,Positif
JERI PRATAMA,4 Februari 2020,Top,Positif
Jopia Alfariski,11 Januari 2021,Bagus tidak kaleng kaleng,Positif
memed gaming,19 September 2020,Suka,Positif
sifah fauziyah,5 Desember 2020,aplikasi bagus,Positif
Pengguna Google,24 April 2018,Bagus banget,Positif
Aulya Hayatunufus,22 Oktober 2020,ini seru banget,Positif
Jefri 1234,12 Februari 2020,Mantap betul,Positif
Pengguna Google,4 Juni 2018,Keren banget,Positif
indra alfaru,18 Juni 2020,bagus,Positif
Theo Chandra,22 Juni 2021,Aku benci kamu tiktok kamu mebanned semua BOCIL di sana tanpa alasan Ini aplikasi harus di banned selama,Negatif
xowadd 12,16 Oktober 2020,mantap,Positif
Dilaa,4 Oktober 2021,tidak jelas aplikasi kalau upload lama banget,Negatif
ahmad aan,27 Mei 2020,tiktok ini paling bagus,Positif
Norma Nort,19 Oktober 2020,Bagus banget..,Positif
Rasya Rizki,9 Januari 2021,Bagus banget,Positif
lavlita prita prita,27 April 2020,Main tiktok itu asik,Positif
Dewi Triasih,9 Maret 2021,Kenapa fitur  tidak dapat di download?? Ha di 0% terus Aduh,Negatif
dandi brebetd,14 Februari 2021,Sangat bagus,Positif
Leptop Cpu,31 Desember 2020,aplikasi jelek banget tapi bohong kalian harus download karena aplikasi bagus banget,Positif
Chicken Id,4 Agustus 2021,aplikasi perusak bangsa,Negatif
rahmaditya adindas,12 Januari 2020,Bagus aku suka buat video,Positif
Michella Tampinongkol,8 Agustus 2019,aplikasi yang keren,Positif
Pengguna Google,22 Mei 2018,Bagus banget,Positif
kajian chanel,19 April 2020,Top,Positif
NENDER FF,2 Juni 2019,kasih bintang 5,Positif
Frida Christina Konduwes,23 Februari 2018,Bagus,Positif
Her Ballon,17 Juli 2020,Oke,Positif
Lesnawati Rachmand,2 Juli 2020,Sangat menghibur,Positif
Zetty Andinii:v,15 April 2020,Iya bagus,Positif
Salleang Cs,7 Agustus 2020,Bagus banget,Positif
Supandri Anang,28 November 2019,Bagus,Positif
Nasya Aina,2 Agustus 2020,Bagus tiktok saya suka,Positif
Iis Muliyati,3 Agustus 2020,Bagus,Positif
Pety Rospianty,4 April 2020,Aplikasi tiktok ini bagus,Positif
Wahyudin Indra,18 Oktober 2021,Bak yang umbar aurat,Negatif
Fuji Anugrah,18 Maret 2020,Keren,Positif
Pengguna Google,21 Juni 2018,Bagus banget keren.. tapi aku ingin dapat following bak dan like,Positif
SAFA ZOYA OFFICIAL,2 Mei 2020,Sangat bagus,Positif
Pengguna Google,16 September 2018,Bagus,Positif
Pengguna Google,21 Mei 2018,Lucu dan menyenangkan,Positif
Pengguna Google,3 Oktober 2018,Bagus,Positif
Pengguna Google,27 April 2018,Keren banget,Positif
Salwa Lathifah,15 Desember 2020,Bagus,Positif
Firman Syah,16 Januari 2021,Mantap,Positif
Animerock me,1 Juli 2021,Tidak direkomendasikan,Negatif
Andikacatur Prasetyo,29 November 2020,Sangat bagus,Positif
Quinsa Adelia Bilbina Putri -,14 Maret 2020,Bagus,Positif
Pengguna Google,20 Februari 2018,Luar biasa tiktok,Positif
Nur hayati Nur,24 Oktober 2019,Bagus,Positif
Cici Natasya,16 Desember 2020,Aplikasi ini bagus ya,Positif
Indah meydayanti,23 Desember 2020,Penghibur banget sih😆,Positif
Nurul Fatihah Utami,31 Desember 2020,Good aplikasi,Positif
